iter	Passed	Remaining
680	7573	3547
681	7586	3537
682	7598	3526
683	7610	3516
684	7624	3505
685	7637	3496
686	7650	3485
687	7663	3475
688	7677	3465
689	7690	3455
690	7703	3444
691	7715	3434
692	7727	3423
693	7739	3412
694	7752	3402
695	7764	3391
696	7777	3380
697	7789	3370
698	7802	3359
699	7815	3349
700	7828	3339
701	7841	3328
702	7853	3317
703	7867	3307
704	7880	3297
705	7892	3286
706	7905	3276
707	7917	3265
708	7930	3254
709	7942	3244
710	7956	3234
711	7969	3223
712	7982	3213
713	7994	3202
714	8007	3191
715	8019	3181
716	8031	3170
717	8044	3159
718	8057	3148
719	8070	3138
720	8081	3127
721	8094	3116
722	8107	3106
723	8120	3095
724	8132	3084
725	8144	3074
726	8158	3063
727	8170	3052
728	8183	3042
729	8196	3031
730	8209	3020
731	8222	3010
732	8236	3000
733	8248	2989
734	8261	2978
735	8273	2967
736	8286	2956
737	8299	2946
738	8312	2935
739	8325	2925
740	8338	2914
741	8352	2904
742	8365	2893
743	8378	2882
744	8390	2872
745	8403	2861
746	8416	2850
747	8429	2839
748	8442	2829
749	8455	2818
750	8468	2807
751	8481	2797
752	8493	2786
753	8507	2775
754	8520	2764
755	8532	2753
756	8545	2743
757	8558	2732
758	8571	2721
759	8583	2710
760	8596	2699
761	8608	2688
762	8621	2678
763	8634	2667
764	8647	2656
765	8660	2645
766	8673	2634
767	8686	2623
768	8699	2613
769	8711	2602
770	8724	2591
771	8737	2580
772	8749	2569
773	8763	2558
774	8776	2547
775	8788	2537
776	8801	2526
777	8814	2515
778	8827	2504
779	8839	2493
780	8851	2482
781	8864	2471
782	8876	2460
783	8888	2448
784	8901	2438
785	8915	2427
786	8927	2416
787	8941	2405
788	8954	2394
789	8967	2383
790	8979	2372
791	8992	2361
792	9003	2350
793	9016	2339
794	9029	2328
795	9041	2317
796	9054	2306
797	9066	2295
798	9079	2284
799	9092	2273
800	9104	2261
801	9116	2250
802	9130	2239
803	9142	2228
804	9155	2217
805	9168	2206
806	9181	2195
807	9194	2184
808	9207	2173
809	9220	2162
810	9233	2151
811	9245	2140
812	9258	2129
813	9270	2118
814	9283	2107
815	9296	2096
816	9309	2085
817	9322	2074
818	9335	2063
819	9347	2051
820	9359	2040
821	9372	2029
822	9384	2018
823	9396	2006
824	9408	1995
825	9421	1984
826	9434	1973
827	9447	1962
828	9460	1951
829	9472	1940
830	9486	1929
831	9498	1917
832	9510	1906
833	9523	1895
834	9536	1884
835	9550	1873
836	9563	1862
837	9576	1851
838	9589	1840
839	9602	1829
840	9615	1817
841	9627	1806
842	9638	1795
843	9651	1783
844	9664	1772
845	9677	1761
846	9690	1750
847	9704	1739
848	9717	1728
849	9732	1717
850	9745	1706
851	9757	1695
852	9770	1683
853	9783	1672
854	9797	1661
855	9809	1650
856	9823	1639
857	9837	1628
858	9850	1616
859	9863	1605
860	9876	1594
861	9889	1583
862	9903	1572
863	9916	1560
864	9929	1549
865	9941	1538
866	9955	1527
867	9969	1516
868	9983	1504
869	9996	1493
870	10009	1482
871	10022	1471
872	10033	1459
873	10046	1448
874	10059	1437
875	10072	1425
876	10085	1414
877	10098	1403
878	10111	1391
879	10124	1380
880	10137	1369
881	10150	1357
882	10162	1346
883	10176	1335
884	10189	1324
885	10202	1312
886	10216	1301
887	10228	1290
888	10241	1278
889	10254	1267
890	10267	1256
891	10280	1244
892	10293	1233
893	10307	1222
894	10320	1210
895	10333	1199
896	10347	1188
897	10361	1176
898	10374	1165
899	10388	1154
900	10400	1142
901	10414	1131
902	10427	1120
903	10440	1108
904	10453	1097
905	10466	1085
906	10480	1074
907	10493	1063
908	10507	1051
909	10519	1040
910	10533	1029
911	10546	1017
912	10559	1006
913	10573	994
914	10586	983
915	10599	971
916	10612	960
917	10625	949
918	10638	937
919	10652	926
920	10665	914
921	10678	903
922	10692	892
923	10705	880
924	10718	869
925	10732	857
926	10744	846
927	10758	834
928	10772	823
929	10785	811
930	10798	800
931	10811	788
932	10825	777
933	10838	765
934	10852	754
935	10865	742
936	10878	731
937	10891	719
938	10905	708
939	10919	697
940	10933	685
941	10946	674
942	10959	662
943	10973	650
944	10987	639
945	11001	627
946	11014	616
947	11027	604
948	11041	593
949	11054	581
950	11068	570
951	11081	558
952	11094	547
953	11107	535
954	11121	524
955	11133	512
956	11147	500
957	11161	489
958	11174	477
959	11188	466
960	11201	454
961	11215	443
962	11228	431
963	11240	419
964	11254	408
965	11269	396
966	11282	385
967	11295	373
968	11308	361
969	11321	350
970	11334	338
971	11347	326
972	11361	315
973	11373	303
974	11386	291
975	11399	280
976	11412	268
977	11425	257
978	11437	245
979	11449	233
980	11462	221
981	11475	210
982	11489	198
983	11501	187
984	11516	175
985	11529	163
986	11542	152
987	11557	140
988	11570	128
989	11583	117
990	11597	105
991	11610	93
992	11623	81
993	11636	70
994	11648	58
995	11661	46
996	11675	35
997	11689	23
998	11702	11
999	11715	0
